id,,unit kerja,nama unit,kebijakan,program,kegiatan,nama kegiatan,cost type,name,kode
mak_11_41_1,1,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.01,Rapat koordinasi dgn dosen,1,Bahan habis pakai,650.1.1.01.01.1.11.41
mak_11_41_2,2,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.01,Rapat koordinasi dgn dosen,2,Honor/Upah,650.1.1.01.01.2.11.41
mak_11_41_3,3,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.01,Rapat koordinasi dgn dosen,3,Sewa,650.1.1.01.01.3.11.41
mak_11_41_4,4,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.01,Rapat koordinasi dgn dosen,4,Outsourcing,650.1.1.01.01.4.11.41
mak_11_41_5,5,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.01,Rapat koordinasi dgn dosen,5,Overhead,650.1.1.01.01.5.11.41
mak_11_41_6,6,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,1,Bahan habis pakai,650.1.1.01.02.1.11.41
mak_11_41_7,7,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,2,Honor/Upah,650.1.1.01.02.2.11.41
mak_11_41_8,8,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,3,Sewa,650.1.1.01.02.3.11.41
mak_11_41_9,9,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,4,Outsourcing,650.1.1.01.02.4.11.41
mak_11_41_10,10,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,5,Overhead,650.1.1.01.02.5.11.41
mak_11_41_11,11,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.03,Ketersediaan dosen,1,Bahan habis pakai,650.1.1.01.03.1.11.41
mak_11_41_12,12,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.03,Ketersediaan dosen,2,Honor/Upah,650.1.1.01.03.2.11.41
mak_11_41_13,13,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.03,Ketersediaan dosen,3,Sewa,650.1.1.01.03.3.11.41
mak_11_41_14,14,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.03,Ketersediaan dosen,4,Outsourcing,650.1.1.01.03.4.11.41
mak_11_41_15,15,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.03,Ketersediaan dosen,5,Overhead,650.1.1.01.03.5.11.41
mak_11_41_16,16,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.04,Kualifikasi dosen,1,Bahan habis pakai,650.1.1.01.04.1.11.41
mak_11_41_17,17,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.04,Kualifikasi dosen,2,Honor/Upah,650.1.1.01.04.2.11.41
mak_11_41_18,18,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.04,Kualifikasi dosen,3,Sewa,650.1.1.01.04.3.11.41
mak_11_41_19,19,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.04,Kualifikasi dosen,4,Outsourcing,650.1.1.01.04.4.11.41
mak_11_41_20,20,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.04,Kualifikasi dosen,5,Overhead,650.1.1.01.04.5.11.41
mak_11_41_21,21,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,1,Bahan habis pakai,650.1.1.01.05.1.11.41
mak_11_41_22,22,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,2,Honor/Upah,650.1.1.01.05.2.11.41
mak_11_41_23,23,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,3,Sewa,650.1.1.01.05.3.11.41
mak_11_41_24,24,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,4,Outsourcing,650.1.1.01.05.4.11.41
mak_11_41_25,25,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,5,Overhead,650.1.1.01.05.5.11.41
mak_11_41_26,26,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,1,Bahan habis pakai,650.1.1.01.06.1.11.41
mak_11_41_27,27,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,2,Honor/Upah,650.1.1.01.06.2.11.41
mak_11_41_28,28,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,3,Sewa,650.1.1.01.06.3.11.41
mak_11_41_29,29,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,4,Outsourcing,650.1.1.01.06.4.11.41
mak_11_41_30,30,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,5,Overhead,650.1.1.01.06.5.11.41
mak_11_41_31,31,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.07,Jadual kuliah,1,Bahan habis pakai,650.1.1.01.07.1.11.41
mak_11_41_32,32,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.07,Jadual kuliah,2,Honor/Upah,650.1.1.01.07.2.11.41
mak_11_41_33,33,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.07,Jadual kuliah,3,Sewa,650.1.1.01.07.3.11.41
mak_11_41_34,34,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.07,Jadual kuliah,4,Outsourcing,650.1.1.01.07.4.11.41
mak_11_41_35,35,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.07,Jadual kuliah,5,Overhead,650.1.1.01.07.5.11.41
mak_11_41_36,36,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.08,Pengisian KRS oleh mhs,1,Bahan habis pakai,650.1.1.01.08.1.11.41
mak_11_41_37,37,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.08,Pengisian KRS oleh mhs,2,Honor/Upah,650.1.1.01.08.2.11.41
mak_11_41_38,38,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.08,Pengisian KRS oleh mhs,3,Sewa,650.1.1.01.08.3.11.41
mak_11_41_39,39,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.08,Pengisian KRS oleh mhs,4,Outsourcing,650.1.1.01.08.4.11.41
mak_11_41_40,40,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.08,Pengisian KRS oleh mhs,5,Overhead,650.1.1.01.08.5.11.41
mak_11_41_41,41,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,1,Bahan habis pakai,650.1.1.01.09.1.11.41
mak_11_41_42,42,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,2,Honor/Upah,650.1.1.01.09.2.11.41
mak_11_41_43,43,11.41,Prodi Teknik Sipil (D3),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,3,Sewa,650.1.1.01.09.3.11.41
