id,,unit kerja,nama unit,kebijakan,program,kegiatan,nama kegiatan,cost type,name,kode
mak_12_22_1,1,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,1,Bahan habis pakai,650.1.1.01.01.1.12.22
mak_12_22_2,2,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,2,Honor/Upah,650.1.1.01.01.2.12.22
mak_12_22_3,3,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,3,Sewa,650.1.1.01.01.3.12.22
mak_12_22_4,4,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,4,Outsourcing,650.1.1.01.01.4.12.22
mak_12_22_5,5,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,5,Overhead,650.1.1.01.01.5.12.22
mak_12_22_6,6,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,1,Bahan habis pakai,650.1.1.01.02.1.12.22
mak_12_22_7,7,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,2,Honor/Upah,650.1.1.01.02.2.12.22
mak_12_22_8,8,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,3,Sewa,650.1.1.01.02.3.12.22
mak_12_22_9,9,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,4,Outsourcing,650.1.1.01.02.4.12.22
mak_12_22_10,10,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,5,Overhead,650.1.1.01.02.5.12.22
mak_12_22_11,11,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.03,Ketersediaan dosen,1,Bahan habis pakai,650.1.1.01.03.1.12.22
mak_12_22_12,12,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.03,Ketersediaan dosen,2,Honor/Upah,650.1.1.01.03.2.12.22
mak_12_22_13,13,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.03,Ketersediaan dosen,3,Sewa,650.1.1.01.03.3.12.22
mak_12_22_14,14,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.03,Ketersediaan dosen,4,Outsourcing,650.1.1.01.03.4.12.22
mak_12_22_15,15,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.03,Ketersediaan dosen,5,Overhead,650.1.1.01.03.5.12.22
mak_12_22_16,16,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.04,Kualifikasi dosen,1,Bahan habis pakai,650.1.1.01.04.1.12.22
mak_12_22_17,17,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.04,Kualifikasi dosen,2,Honor/Upah,650.1.1.01.04.2.12.22
mak_12_22_18,18,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.04,Kualifikasi dosen,3,Sewa,650.1.1.01.04.3.12.22
mak_12_22_19,19,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.04,Kualifikasi dosen,4,Outsourcing,650.1.1.01.04.4.12.22
mak_12_22_20,20,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.04,Kualifikasi dosen,5,Overhead,650.1.1.01.04.5.12.22
mak_12_22_21,21,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,1,Bahan habis pakai,650.1.1.01.05.1.12.22
mak_12_22_22,22,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,2,Honor/Upah,650.1.1.01.05.2.12.22
mak_12_22_23,23,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,3,Sewa,650.1.1.01.05.3.12.22
mak_12_22_24,24,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,4,Outsourcing,650.1.1.01.05.4.12.22
mak_12_22_25,25,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,5,Overhead,650.1.1.01.05.5.12.22
mak_12_22_26,26,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,1,Bahan habis pakai,650.1.1.01.06.1.12.22
mak_12_22_27,27,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,2,Honor/Upah,650.1.1.01.06.2.12.22
mak_12_22_28,28,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,3,Sewa,650.1.1.01.06.3.12.22
mak_12_22_29,29,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,4,Outsourcing,650.1.1.01.06.4.12.22
mak_12_22_30,30,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,5,Overhead,650.1.1.01.06.5.12.22
mak_12_22_31,31,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.07,Jadual kuliah,1,Bahan habis pakai,650.1.1.01.07.1.12.22
mak_12_22_32,32,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.07,Jadual kuliah,2,Honor/Upah,650.1.1.01.07.2.12.22
mak_12_22_33,33,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.07,Jadual kuliah,3,Sewa,650.1.1.01.07.3.12.22
mak_12_22_34,34,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.07,Jadual kuliah,4,Outsourcing,650.1.1.01.07.4.12.22
mak_12_22_35,35,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.07,Jadual kuliah,5,Overhead,650.1.1.01.07.5.12.22
mak_12_22_36,36,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,1,Bahan habis pakai,650.1.1.01.08.1.12.22
mak_12_22_37,37,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,2,Honor/Upah,650.1.1.01.08.2.12.22
mak_12_22_38,38,12.22,Prodi Teknik Elektro (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,3,Sewa,650.1.1.01.08.3.12.22
