id,,unit kerja,nama unit,kebijakan,program,kegiatan,nama kegiatan,cost type,name,kode
mak_12_23_1,1,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,1,Bahan habis pakai,650.1.1.01.01.1.12.23
mak_12_23_2,2,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,2,Honor/Upah,650.1.1.01.01.2.12.23
mak_12_23_3,3,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,3,Sewa,650.1.1.01.01.3.12.23
mak_12_23_4,4,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,4,Outsourcing,650.1.1.01.01.4.12.23
mak_12_23_5,5,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,5,Overhead,650.1.1.01.01.5.12.23
mak_12_23_6,6,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,1,Bahan habis pakai,650.1.1.01.02.1.12.23
mak_12_23_7,7,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,2,Honor/Upah,650.1.1.01.02.2.12.23
mak_12_23_8,8,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,3,Sewa,650.1.1.01.02.3.12.23
mak_12_23_9,9,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,4,Outsourcing,650.1.1.01.02.4.12.23
mak_12_23_10,10,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,5,Overhead,650.1.1.01.02.5.12.23
mak_12_23_11,11,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.03,Ketersediaan dosen,1,Bahan habis pakai,650.1.1.01.03.1.12.23
mak_12_23_12,12,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.03,Ketersediaan dosen,2,Honor/Upah,650.1.1.01.03.2.12.23
mak_12_23_13,13,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.03,Ketersediaan dosen,3,Sewa,650.1.1.01.03.3.12.23
mak_12_23_14,14,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.03,Ketersediaan dosen,4,Outsourcing,650.1.1.01.03.4.12.23
mak_12_23_15,15,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.03,Ketersediaan dosen,5,Overhead,650.1.1.01.03.5.12.23
mak_12_23_16,16,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.04,Kualifikasi dosen,1,Bahan habis pakai,650.1.1.01.04.1.12.23
mak_12_23_17,17,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.04,Kualifikasi dosen,2,Honor/Upah,650.1.1.01.04.2.12.23
mak_12_23_18,18,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.04,Kualifikasi dosen,3,Sewa,650.1.1.01.04.3.12.23
mak_12_23_19,19,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.04,Kualifikasi dosen,4,Outsourcing,650.1.1.01.04.4.12.23
mak_12_23_20,20,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.04,Kualifikasi dosen,5,Overhead,650.1.1.01.04.5.12.23
mak_12_23_21,21,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,1,Bahan habis pakai,650.1.1.01.05.1.12.23
mak_12_23_22,22,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,2,Honor/Upah,650.1.1.01.05.2.12.23
mak_12_23_23,23,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,3,Sewa,650.1.1.01.05.3.12.23
mak_12_23_24,24,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,4,Outsourcing,650.1.1.01.05.4.12.23
mak_12_23_25,25,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,5,Overhead,650.1.1.01.05.5.12.23
mak_12_23_26,26,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,1,Bahan habis pakai,650.1.1.01.06.1.12.23
mak_12_23_27,27,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,2,Honor/Upah,650.1.1.01.06.2.12.23
mak_12_23_28,28,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,3,Sewa,650.1.1.01.06.3.12.23
mak_12_23_29,29,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,4,Outsourcing,650.1.1.01.06.4.12.23
mak_12_23_30,30,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,5,Overhead,650.1.1.01.06.5.12.23
mak_12_23_31,31,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.07,Jadual kuliah,1,Bahan habis pakai,650.1.1.01.07.1.12.23
mak_12_23_32,32,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.07,Jadual kuliah,2,Honor/Upah,650.1.1.01.07.2.12.23
mak_12_23_33,33,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.07,Jadual kuliah,3,Sewa,650.1.1.01.07.3.12.23
mak_12_23_34,34,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.07,Jadual kuliah,4,Outsourcing,650.1.1.01.07.4.12.23
mak_12_23_35,35,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.07,Jadual kuliah,5,Overhead,650.1.1.01.07.5.12.23
mak_12_23_36,36,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,1,Bahan habis pakai,650.1.1.01.08.1.12.23
mak_12_23_37,37,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,2,Honor/Upah,650.1.1.01.08.2.12.23
mak_12_23_38,38,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,3,Sewa,650.1.1.01.08.3.12.23
mak_12_23_39,39,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,4,Outsourcing,650.1.1.01.08.4.12.23
mak_12_23_40,40,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,5,Overhead,650.1.1.01.08.5.12.23
mak_12_23_41,41,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,1,Bahan habis pakai,650.1.1.01.09.1.12.23
mak_12_23_42,42,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,2,Honor/Upah,650.1.1.01.09.2.12.23
mak_12_23_43,43,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,3,Sewa,650.1.1.01.09.3.12.23
mak_12_23_44,44,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,4,Outsourcing,650.1.1.01.09.4.12.23
mak_12_23_45,45,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,5,Overhead,650.1.1.01.09.5.12.23
mak_12_23_46,46,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.10,Daftar hadir dosen/mata kuliah,1,Bahan habis pakai,650.1.1.01.10.1.12.23
mak_12_23_47,47,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.10,Daftar hadir dosen/mata kuliah,2,Honor/Upah,650.1.1.01.10.2.12.23
mak_12_23_48,48,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.10,Daftar hadir dosen/mata kuliah,3,Sewa,650.1.1.01.10.3.12.23
mak_12_23_49,49,12.23,Prodi Teknik Industri (S1),1,1.01,1.01.10,Daftar hadir dosen/mata kuliah,4,Outsourcing,650.1.1.01.10.4.12.23
