id,,unit,nama unit,kebijakan,program,kegiatan,nama kegiatan,cost type,name,kode
mak_11_12_1,1,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,1,Bahan habis pakai,650.1.1.01.01.1.11.12
mak_11_12_2,2,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,2,Honor/Upah,650.1.1.01.01.2.11.12
mak_11_12_3,3,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,3,Sewa,650.1.1.01.01.3.11.12
mak_11_12_4,4,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,4,Outsourcing,650.1.1.01.01.4.11.12
mak_11_12_5,5,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,5,Overhead,650.1.1.01.01.5.11.12
mak_11_12_6,6,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,1,Bahan habis pakai,650.1.1.01.02.1.11.12
mak_11_12_7,7,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,2,Honor/Upah,650.1.1.01.02.2.11.12
mak_11_12_8,8,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,3,Sewa,650.1.1.01.02.3.11.12
mak_11_12_9,9,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,4,Outsourcing,650.1.1.01.02.4.11.12
mak_11_12_10,10,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,5,Overhead,650.1.1.01.02.5.11.12
mak_11_12_11,11,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.03,Ketersediaan dosen,1,Bahan habis pakai,650.1.1.01.03.1.11.12
mak_11_12_12,12,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.03,Ketersediaan dosen,2,Honor/Upah,650.1.1.01.03.2.11.12
mak_11_12_13,13,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.03,Ketersediaan dosen,3,Sewa,650.1.1.01.03.3.11.12
mak_11_12_14,14,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.03,Ketersediaan dosen,4,Outsourcing,650.1.1.01.03.4.11.12
mak_11_12_15,15,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.03,Ketersediaan dosen,5,Overhead,650.1.1.01.03.5.11.12
mak_11_12_16,16,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.04,Kualifikasi dosen,1,Bahan habis pakai,650.1.1.01.04.1.11.12
mak_11_12_17,17,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.04,Kualifikasi dosen,2,Honor/Upah,650.1.1.01.04.2.11.12
mak_11_12_18,18,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.04,Kualifikasi dosen,3,Sewa,650.1.1.01.04.3.11.12
mak_11_12_19,19,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.04,Kualifikasi dosen,4,Outsourcing,650.1.1.01.04.4.11.12
mak_11_12_20,20,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.04,Kualifikasi dosen,5,Overhead,650.1.1.01.04.5.11.12
