id,,unit kerja,nama unit,kebijakan,program,kegiatan,nama kegiatan,cost type,name,kode
mak_11_13_1,1,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,1,Bahan habis pakai,650.1.1.01.01.1.11.13
mak_11_13_2,2,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,2,Honor/Upah,650.1.1.01.01.2.11.13
mak_11_13_3,3,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,3,Sewa,650.1.1.01.01.3.11.13
mak_11_13_4,4,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,4,Outsourcing,650.1.1.01.01.4.11.13
mak_11_13_5,5,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,5,Overhead,650.1.1.01.01.5.11.13
mak_11_13_6,6,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,1,Bahan habis pakai,650.1.1.01.02.1.11.13
mak_11_13_7,7,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,2,Honor/Upah,650.1.1.01.02.2.11.13
mak_11_13_8,8,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,3,Sewa,650.1.1.01.02.3.11.13
mak_11_13_9,9,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,4,Outsourcing,650.1.1.01.02.4.11.13
mak_11_13_10,10,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,5,Overhead,650.1.1.01.02.5.11.13
mak_11_13_11,11,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.03,Ketersediaan dosen,1,Bahan habis pakai,650.1.1.01.03.1.11.13
mak_11_13_12,12,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.03,Ketersediaan dosen,2,Honor/Upah,650.1.1.01.03.2.11.13
mak_11_13_13,13,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.03,Ketersediaan dosen,3,Sewa,650.1.1.01.03.3.11.13
mak_11_13_14,14,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.03,Ketersediaan dosen,4,Outsourcing,650.1.1.01.03.4.11.13
mak_11_13_15,15,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.03,Ketersediaan dosen,5,Overhead,650.1.1.01.03.5.11.13
mak_11_13_16,16,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.04,Kualifikasi dosen,1,Bahan habis pakai,650.1.1.01.04.1.11.13
mak_11_13_17,17,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.04,Kualifikasi dosen,2,Honor/Upah,650.1.1.01.04.2.11.13
mak_11_13_18,18,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.04,Kualifikasi dosen,3,Sewa,650.1.1.01.04.3.11.13
mak_11_13_19,19,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.04,Kualifikasi dosen,4,Outsourcing,650.1.1.01.04.4.11.13
mak_11_13_20,20,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.04,Kualifikasi dosen,5,Overhead,650.1.1.01.04.5.11.13
mak_11_13_21,21,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,1,Bahan habis pakai,650.1.1.01.05.1.11.13
mak_11_13_22,22,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,2,Honor/Upah,650.1.1.01.05.2.11.13
mak_11_13_23,23,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,3,Sewa,650.1.1.01.05.3.11.13
mak_11_13_24,24,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,4,Outsourcing,650.1.1.01.05.4.11.13
mak_11_13_25,25,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,5,Overhead,650.1.1.01.05.5.11.13
mak_11_13_26,26,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,1,Bahan habis pakai,650.1.1.01.06.1.11.13
mak_11_13_27,27,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,2,Honor/Upah,650.1.1.01.06.2.11.13
mak_11_13_28,28,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,3,Sewa,650.1.1.01.06.3.11.13
mak_11_13_29,29,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,4,Outsourcing,650.1.1.01.06.4.11.13
mak_11_13_30,30,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,5,Overhead,650.1.1.01.06.5.11.13
mak_11_13_31,31,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.07,Jadual kuliah,1,Bahan habis pakai,650.1.1.01.07.1.11.13
mak_11_13_32,32,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.07,Jadual kuliah,2,Honor/Upah,650.1.1.01.07.2.11.13
mak_11_13_33,33,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.07,Jadual kuliah,3,Sewa,650.1.1.01.07.3.11.13
mak_11_13_34,34,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.07,Jadual kuliah,4,Outsourcing,650.1.1.01.07.4.11.13
mak_11_13_35,35,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.07,Jadual kuliah,5,Overhead,650.1.1.01.07.5.11.13
mak_11_13_36,36,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,1,Bahan habis pakai,650.1.1.01.08.1.11.13
mak_11_13_37,37,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,2,Honor/Upah,650.1.1.01.08.2.11.13
mak_11_13_38,38,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,3,Sewa,650.1.1.01.08.3.11.13
mak_11_13_39,39,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,4,Outsourcing,650.1.1.01.08.4.11.13
mak_11_13_40,40,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,5,Overhead,650.1.1.01.08.5.11.13
mak_11_13_41,41,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,1,Bahan habis pakai,650.1.1.01.09.1.11.13
mak_11_13_42,42,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,2,Honor/Upah,650.1.1.01.09.2.11.13
mak_11_13_43,43,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,3,Sewa,650.1.1.01.09.3.11.13
mak_11_13_44,44,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,4,Outsourcing,650.1.1.01.09.4.11.13
mak_11_13_45,45,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,5,Overhead,650.1.1.01.09.5.11.13
mak_11_13_46,46,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.10,Daftar hadir dosen/mata kuliah,1,Bahan habis pakai,650.1.1.01.10.1.11.13
mak_11_13_47,47,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.10,Daftar hadir dosen/mata kuliah,2,Honor/Upah,650.1.1.01.10.2.11.13
mak_11_13_48,48,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.10,Daftar hadir dosen/mata kuliah,3,Sewa,650.1.1.01.10.3.11.13
mak_11_13_49,49,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.10,Daftar hadir dosen/mata kuliah,4,Outsourcing,650.1.1.01.10.4.11.13
mak_11_13_50,50,11.13,Prodi Teknik Arts. Landscape (S1),1,1.01,1.01.10,Daftar hadir dosen/mata kuliah,5,Overhead,650.1.1.01.10.5.11.13
mak_11_13_51,51,11.13,Prodi Teknik Arts. Landscape (S1),1,1.02,1.02.01,Lembar penyetaraan,1,Bahan habis pakai,650.1.1.02.01.1.11.13
mak_11_13_52,52,11.13,Prodi Teknik Arts. Landscape (S1),1,1.02,1.02.01,Lembar penyetaraan,2,Honor/Upah,650.1.1.02.01.2.11.13
mak_11_13_53,53,11.13,Prodi Teknik Arts. Landscape (S1),1,1.02,1.02.01,Lembar penyetaraan,3,Sewa,650.1.1.02.01.3.11.13
mak_11_13_54,54,11.13,Prodi Teknik Arts. Landscape (S1),1,1.02,1.02.01,Lembar penyetaraan,4,Outsourcing,650.1.1.02.01.4.11.13
mak_11_13_55,55,11.13,Prodi Teknik Arts. Landscape (S1),1,1.02,1.02.01,Lembar penyetaraan,5,Overhead,650.1.1.02.01.5.11.13
mak_11_13_56,56,11.13,Prodi Teknik Arts. Landscape (S1),1,1.02,1.02.02,Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu,1,Bahan habis pakai,650.1.1.02.02.1.11.13
mak_11_13_57,57,11.13,Prodi Teknik Arts. Landscape (S1),1,1.02,1.02.02,Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu,2,Honor/Upah,650.1.1.02.02.2.11.13
mak_11_13_58,58,11.13,Prodi Teknik Arts. Landscape (S1),1,1.02,1.02.02,Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu,3,Sewa,650.1.1.02.02.3.11.13
mak_11_13_59,59,11.13,Prodi Teknik Arts. Landscape (S1),1,1.02,1.02.02,Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu,4,Outsourcing,650.1.1.02.02.4.11.13
mak_11_13_60,60,11.13,Prodi Teknik Arts. Landscape (S1),1,1.02,1.02.02,Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu,5,Overhead,650.1.1.02.02.5.11.13
mak_11_13_61,61,11.13,Prodi Teknik Arts. Landscape (S1),1,1.02,1.02.03,Ketersediaan rancangan praktikum,1,Bahan habis pakai,650.1.1.02.03.1.11.13
mak_11_13_62,62,11.13,Prodi Teknik Arts. Landscape (S1),1,1.02,1.02.03,Ketersediaan rancangan praktikum,2,Honor/Upah,650.1.1.02.03.2.11.13
mak_11_13_63,63,11.13,Prodi Teknik Arts. Landscape (S1),1,1.02,1.02.03,Ketersediaan rancangan praktikum,3,Sewa,650.1.1.02.03.3.11.13
mak_11_13_64,64,11.13,Prodi Teknik Arts. Landscape (S1),1,1.02,1.02.03,Ketersediaan rancangan praktikum,4,Outsourcing,650.1.1.02.03.4.11.13
mak_11_13_65,65,11.13,Prodi Teknik Arts. Landscape (S1),1,1.02,1.02.03,Ketersediaan rancangan praktikum,5,Overhead,650.1.1.02.03.5.11.13
mak_11_13_66,66,11.13,Prodi Teknik Arts. Landscape (S1),1,1.02,1.02.04,Jadwal praktikum,1,Bahan habis pakai,650.1.1.02.04.1.11.13
mak_11_13_67,67,11.13,Prodi Teknik Arts. Landscape (S1),1,1.02,1.02.04,Jadwal praktikum,2,Honor/Upah,650.1.1.02.04.2.11.13
mak_11_13_68,68,11.13,Prodi Teknik Arts. Landscape (S1),1,1.02,1.02.04,Jadwal praktikum,3,Sewa,650.1.1.02.04.3.11.13
