id,code unit,unit_id,kebijakan,program,kode kegiatan,kegiatan,cost type,name,kode
mak_1,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,1,Bahan habis pakai,650.1.1.01.01.1.11.11
mak_2,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,2,Honor/Upah,650.1.1.01.01.2.11.11
mak_3,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,3,Sewa,650.1.1.01.01.3.11.11
mak_4,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,4,Outsourcing,650.1.1.01.01.4.11.11
mak_5,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.01,Rapat koordinasi dgn dosen,5,Overhead,650.1.1.01.01.5.11.11
mak_6,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,1,Bahan habis pakai,650.1.1.01.02.1.11.11
mak_7,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,2,Honor/Upah,650.1.1.01.02.2.11.11
mak_8,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,3,Sewa,650.1.1.01.02.3.11.11
mak_9,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,4,Outsourcing,650.1.1.01.02.4.11.11
mak_10,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.02,Ketersediaan rancangan pembelajaran,5,Overhead,650.1.1.01.02.5.11.11
mak_11,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.03,Ketersediaan dosen,1,Bahan habis pakai,650.1.1.01.03.1.11.11
mak_12,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.03,Ketersediaan dosen,2,Honor/Upah,650.1.1.01.03.2.11.11
mak_13,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.03,Ketersediaan dosen,3,Sewa,650.1.1.01.03.3.11.11
mak_14,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.03,Ketersediaan dosen,4,Outsourcing,650.1.1.01.03.4.11.11
mak_15,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.03,Ketersediaan dosen,5,Overhead,650.1.1.01.03.5.11.11
mak_16,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.04,Kualifikasi dosen,1,Bahan habis pakai,650.1.1.01.04.1.11.11
mak_17,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.04,Kualifikasi dosen,2,Honor/Upah,650.1.1.01.04.2.11.11
mak_18,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.04,Kualifikasi dosen,3,Sewa,650.1.1.01.04.3.11.11
mak_19,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.04,Kualifikasi dosen,4,Outsourcing,650.1.1.01.04.4.11.11
