"External ID","Kode Program","Program","Kode","Nama","COA"
"kegiatan_pemasaran_1","1.01","PERANGKAT PEMASARAN","1.01.01","Membuat/mengadakan Instrumen publikasi",
"kegiatan_pemasaran_2","1.01","PERANGKAT PEMASARAN","1.01.02","Pameran",
"kegiatan_pemasaran_3","1.01","PERANGKAT PEMASARAN","1.01.03","Presentasi",
"kegiatan_pemasaran_4","1.01","PERANGKAT PEMASARAN","1.01.04","Penyebaran Brosur",
"kegiatan_pemasaran_5","1.02","KOMUNIKASI PUBLIK","1.02.01","Pemasangan Iklan",
"kegiatan_pemasaran_6","1.02","KOMUNIKASI PUBLIK","1.02.02","Open House",
"kegiatan_pemasaran_7","1.03","BENCHMARKING / STUDI BANDING","1.03.01","Kunjungan ke PTS/PTN lainnya",
"kegiatan_pemasaran_8","1.04","RAPAT KERJA KOMUNIKASI PUBLIK & PEMASARAN","1.04.01","Penyusunan pedoman komunikasi publik & pemasaran",
"kegiatan_pemasaran_9","1.04","RAPAT KERJA KOMUNIKASI PUBLIK & PEMASARAN","1.04.02","Penyusunan profil ISTN",
"kegiatan_pemasaran_10","1.04","RAPAT KERJA KOMUNIKASI PUBLIK & PEMASARAN","1.04.03","Penyusunan brosur ISTN",
"kegiatan_pemasaran_11","1.05","PELAKSANAAN KOMUNIKASI PUBLIK","1.05.01","Gathering/pertemuan dgn mass media",
"kegiatan_pemasaran_12","1.05","PELAKSANAAN KOMUNIKASI PUBLIK","1.05.02","Gathering/pertemuan dgn alumni potensial",
"kegiatan_pemasaran_13","1.05","PELAKSANAAN KOMUNIKASI PUBLIK","1.05.03","Gathering/pertemuan dgn dunia usaha/pemda",
"kegiatan_pemasaran_14","1.06","PELAKSANAAN PEMASARAN SUMBER DAYA ISTN","1.06.01","Pemanfaatan jasa SDM sebagai pakar",
"kegiatan_pemasaran_15","1.06","PELAKSANAAN PEMASARAN SUMBER DAYA ISTN","1.06.02","Pemanfaatan assets ISTN",
"kegiatan_pemasaran_16","1.06","PELAKSANAAN PEMASARAN SUMBER DAYA ISTN","1.06.03","Pemanfaatan jasa pendidikan",
