"id","kebijakan_id","program_id","kegiatan_id","cost_type_id","code","name"
"mak1","1","1.01","1.01.01","1","650.1.1.01.01.1","Rapat koordinasi dgn dosen/Bahan habis pakai"
"mak2","1","1.01","1.01.01","2","650.1.1.01.01.2","Rapat koordinasi dgn dosen/Honor/Upah"
"mak3","1","1.01","1.01.01","3","650.1.1.01.01.3","Rapat koordinasi dgn dosen/Sewa"
"mak4","1","1.01","1.01.01","4","650.1.1.01.01.4","Rapat koordinasi dgn dosen/Outsourcing"
"mak5","1","1.01","1.01.01","5","650.1.1.01.01.5","Rapat koordinasi dgn dosen/Overhead"
"mak6","1","1.01","1.01.02","1","650.1.1.01.02.1","Ketersediaan rancangan pembelajaran/Bahan habis pakai"
"mak7","1","1.01","1.01.02","2","650.1.1.01.02.2","Ketersediaan rancangan pembelajaran/Honor/Upah"
"mak8","1","1.01","1.01.02","3","650.1.1.01.02.3","Ketersediaan rancangan pembelajaran/Sewa"
"mak9","1","1.01","1.01.02","4","650.1.1.01.02.4","Ketersediaan rancangan pembelajaran/Outsourcing"
"mak10","1","1.01","1.01.02","5","650.1.1.01.02.5","Ketersediaan rancangan pembelajaran/Overhead"
"mak11","1","1.01","1.01.03","1","650.1.1.01.03.1","Ketersediaan dosen/Bahan habis pakai"
"mak12","1","1.01","1.01.03","2","650.1.1.01.03.2","Ketersediaan dosen/Honor/Upah"
"mak13","1","1.01","1.01.03","3","650.1.1.01.03.3","Ketersediaan dosen/Sewa"
"mak14","1","1.01","1.01.03","4","650.1.1.01.03.4","Ketersediaan dosen/Outsourcing"
"mak15","1","1.01","1.01.03","5","650.1.1.01.03.5","Ketersediaan dosen/Overhead"
"mak16","1","1.01","1.01.04","1","650.1.1.01.04.1","Kualifikasi dosen/Bahan habis pakai"
"mak17","1","1.01","1.01.04","2","650.1.1.01.04.2","Kualifikasi dosen/Honor/Upah"
"mak18","1","1.01","1.01.04","3","650.1.1.01.04.3","Kualifikasi dosen/Sewa"
"mak19","1","1.01","1.01.04","4","650.1.1.01.04.4","Kualifikasi dosen/Outsourcing"
"mak20","1","1.01","1.01.04","5","650.1.1.01.04.5","Kualifikasi dosen/Overhead"
"mak21","1","1.01","1.01.05","1","650.1.1.01.05.1","Ketersediaan fasilitas kuliah/Bahan habis pakai"
"mak22","1","1.01","1.01.05","2","650.1.1.01.05.2","Ketersediaan fasilitas kuliah/Honor/Upah"
"mak23","1","1.01","1.01.05","3","650.1.1.01.05.3","Ketersediaan fasilitas kuliah/Sewa"
