"id","no","unit kerja","nama unit","kebijakan","program","kegiatan","nama kegiatan","cost type","name","kode"
"mak_12_42_1","1","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.01","Rapat koordinasi dgn dosen","1","Bahan habis pakai","650.1.1.01.01.1.12.42"
"mak_12_42_2","2","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.01","Rapat koordinasi dgn dosen","2","Honor/Upah","650.1.1.01.01.2.12.42"
"mak_12_42_3","3","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.01","Rapat koordinasi dgn dosen","3","Sewa","650.1.1.01.01.3.12.42"
"mak_12_42_4","4","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.01","Rapat koordinasi dgn dosen","4","Outsourcing","650.1.1.01.01.4.12.42"
"mak_12_42_5","5","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.01","Rapat koordinasi dgn dosen","5","Overhead","650.1.1.01.01.5.12.42"
"mak_12_42_6","6","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.02","Ketersediaan rancangan pembelajaran","1","Bahan habis pakai","650.1.1.01.02.1.12.42"
"mak_12_42_7","7","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.02","Ketersediaan rancangan pembelajaran","2","Honor/Upah","650.1.1.01.02.2.12.42"
"mak_12_42_8","8","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.02","Ketersediaan rancangan pembelajaran","3","Sewa","650.1.1.01.02.3.12.42"
"mak_12_42_9","9","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.02","Ketersediaan rancangan pembelajaran","4","Outsourcing","650.1.1.01.02.4.12.42"
"mak_12_42_10","10","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.02","Ketersediaan rancangan pembelajaran","5","Overhead","650.1.1.01.02.5.12.42"
"mak_12_42_11","11","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.03","Ketersediaan dosen","1","Bahan habis pakai","650.1.1.01.03.1.12.42"
"mak_12_42_12","12","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.03","Ketersediaan dosen","2","Honor/Upah","650.1.1.01.03.2.12.42"
"mak_12_42_13","13","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.03","Ketersediaan dosen","3","Sewa","650.1.1.01.03.3.12.42"
"mak_12_42_14","14","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.03","Ketersediaan dosen","4","Outsourcing","650.1.1.01.03.4.12.42"
"mak_12_42_15","15","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.03","Ketersediaan dosen","5","Overhead","650.1.1.01.03.5.12.42"
"mak_12_42_16","16","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.04","Kualifikasi dosen","1","Bahan habis pakai","650.1.1.01.04.1.12.42"
"mak_12_42_17","17","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.04","Kualifikasi dosen","2","Honor/Upah","650.1.1.01.04.2.12.42"
"mak_12_42_18","18","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.04","Kualifikasi dosen","3","Sewa","650.1.1.01.04.3.12.42"
"mak_12_42_19","19","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.04","Kualifikasi dosen","4","Outsourcing","650.1.1.01.04.4.12.42"
"mak_12_42_20","20","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.04","Kualifikasi dosen","5","Overhead","650.1.1.01.04.5.12.42"
"mak_12_42_21","21","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.05","Ketersediaan fasilitas kuliah","1","Bahan habis pakai","650.1.1.01.05.1.12.42"
"mak_12_42_22","22","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.05","Ketersediaan fasilitas kuliah","2","Honor/Upah","650.1.1.01.05.2.12.42"
"mak_12_42_23","23","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.05","Ketersediaan fasilitas kuliah","3","Sewa","650.1.1.01.05.3.12.42"
"mak_12_42_24","24","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.05","Ketersediaan fasilitas kuliah","4","Outsourcing","650.1.1.01.05.4.12.42"
"mak_12_42_25","25","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.05","Ketersediaan fasilitas kuliah","5","Overhead","650.1.1.01.05.5.12.42"
"mak_12_42_26","26","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.06","Mata kuliah yg ditawarkan dan jumlah kelas","1","Bahan habis pakai","650.1.1.01.06.1.12.42"
"mak_12_42_27","27","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.06","Mata kuliah yg ditawarkan dan jumlah kelas","2","Honor/Upah","650.1.1.01.06.2.12.42"
"mak_12_42_28","28","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.06","Mata kuliah yg ditawarkan dan jumlah kelas","3","Sewa","650.1.1.01.06.3.12.42"
"mak_12_42_29","29","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.06","Mata kuliah yg ditawarkan dan jumlah kelas","4","Outsourcing","650.1.1.01.06.4.12.42"
