"id","Region","Name","Status Legal Grade","Status Business Grade","Hasil Penyesuaian","Alamat Kantor Existing","Provinsi"
"cabang1","Region I","Ciputat","Cabang","Cabang A","Kantor Cabang","xxxxxxx","Banten"
"cabang2","Region I","Daanmogot","Cabang","Cabang B","Kantor Cabang","xxxxxxx","DKI"
"cabang3","Region I","Head Office","Head Office","Head Office","Kantor Pusat","xxxxxxx","DKI"
"cabang4","Region I","Kemayoran","Cabang","Cabang A","Kantor Cabang","xxxxxxx","DKI"
"cabang5","Region I","Rawamangun","Cabang","Cabang A","Kantor Cabang","xxxxxxx","DKI"
"cabang6","Region I","Cikupa","Cabang","Cabang A","Kantor Cabang","xxxxxxx","Banten"
"cabang7","Region I","Ciledug","Cabang","Cabang B","Kantor Cabang","xxxxxxx","Banten"
"cabang8","Region I","Mauk","Cabang","Cabang A","Kantor Cabang","xxxxxxx","Banten"
"cabang9","Region I","Serang","Cabang","Cabang","Kantor Cabang","xxxxxxx","Banten"
"cabang10","Region I","Tangerang","Cabang","Cabang","Kantor Cabang","xxxxxxx","Banten"
"cabang11","Region I","Labuan","Cabang","Cabang D","Kantor Cabang","xxxxxxx","Banten"
"cabang12","Region I","Rangkasbitung","Cabang","Cabang C","Kantor Cabang","xxxxxxx","Banten"
"cabang13","Region I","Balaraja","Cabang","Cabang","Kantor Cabang","xxxxxxx","Banten"
"cabang14","Region I","Bekasi","Cabang","Cabang A","Kantor Cabang","xxxxxxx",
"cabang15","Region I","Cikarang","Cabang","Cabang B","Kantor Cabang","xxxxxxx",
"cabang16","Region I","Karawang ","Cabang","Cabang C","Kantor Cabang","xxxxxxx",
"cabang17","Region I","Depok","Cabang","Cabang B","Kantor Cabang","xxxxxxx",
"cabang18","Region III","Bandung 2","Cabang","Cabang A","Kantor Cabang","xxxxxxx","Jabar"
"cabang19","Region III","Cirebon","Cabang","Cabang C","Kantor Cabang","xxxxxxx","Jabar"
"cabang20","Region III","Jatibarang","Cabang","Cabang B","Kantor Cabang","xxxxxxx","Jabar"
"cabang21","Region III","Sukabumi","Cabang","Cabang B","Kantor Cabang","xxxxxxx","Jabar"
"cabang22","Region III","Subang","Cabang","Cabang C","Kantor Cabang","xxxxxxx","Jabar"
"cabang23","Region III","Sumedang","Cabang","Cabang D","Kantor Cabang","xxxxxxx","Jabar"
"cabang24","Region III","Tasikmalaya","Cabang","Cabang D","Kantor Cabang","xxxxxxx","Jabar"
"cabang25","Region III","Garut","Cabang","Cabang D","Kantor Cabang","xxxxxxx","Jabar"
"cabang26","Region III","Kuningan","Cabang","Cabang C","Kantor Cabang","xxxxxxx","Jabar"
"cabang27","Region III","Cimahi","Cabang","Cabang C","Kantor Cabang","xxxxxxx","Jabar"
"cabang28","Region III","Cianjur","Cabang","Cabang C","Kantor Cabang","xxxxxxx","Jabar"
"cabang29","Region III","Purwakarta","Cabang","Cabang C","Kantor Cabang","xxxxxxx","Jabar"
"cabang30","Region III","Majalengka","Cabang","Cabang D","Kantor Cabang","xxxxxxx","Jabar"
"cabang31","Region III","Pelabuhan Ratu","KSKC","Kapos","KSKC fungsi Kapos","xxxxxxx","Jabar"
"cabang32","Region III","Pamanukan","KSKC","Kapos","KSKC fungsi Kapos","xxxxxxx","Jabar"
"cabang33","Region III","Patrol","KSKC","Kapos","KSKC fungsi Kapos","xxxxxxx","Jabar"
"cabang34","Region III","Soreang","KSKC","Kapos","KSKC fungsi Kapos","xxxxxxx","Jabar"
"cabang35","Region III","Bogor","Cabang","Cabang B","Kantor Cabang","xxxxxxx",
"cabang36","Region III","Cileungsi","Cabang","Cabang B","Kantor Cabang","xxxxxxx",
"cabang37","Region III","Leuwiliang","Cabang","Cabang C","Kantor Cabang","xxxxxxx",
"cabang38","Region III","Jonggol","KSKC","Kapos","KSKC fungsi Kapos","xxxxxxx",
"cabang39","Region III","Cibinong","KSKC","Kapos","KSKC fungsi Kapos","xxxxxxx",
"cabang40","Region V","Brebes","Cabang","Cabang B","Kantor Cabang","xxxxxxx","Jateng"
"cabang41","Region V","Kudus","Cabang","Cabang B","Kantor Cabang","xxxxxxx","Jateng"
"cabang42","Region V","Pekalongan","Cabang","Cabang B","Kantor Cabang","xxxxxxx","Jateng"
"cabang43","Region V","Semarang","Cabang","Cabang A","Kantor Cabang","xxxxxxx","Jateng"
"cabang44","Region V","Tegal","Cabang","Cabang A","Kantor Cabang","xxxxxxx","Jateng"
"cabang45","Region V","Pemalang","Cabang","Cabang B","Kantor Cabang","xxxxxxx","Jateng"
"cabang46","Region V","Purwodadi","Cabang","Cabang C","Kantor Cabang","xxxxxxx","Jateng"
"cabang47","Region V","Salatiga","Cabang","Cabang B","Kantor Cabang","xxxxxxx","Jateng"
"cabang48","Region V","Blora","KSKC","Kapos","KSKC fungsi Kapos","xxxxxxx","Jateng"
"cabang49","Region V","Bumi Ayu","KSKC","Kapos","KSKC fungsi Kapos","xxxxxxx","Jateng"
"cabang50","Region V","Jepara","KSKC","Kapos","KSKC fungsi Kapos","xxxxxxx","Jateng"
"cabang51","Region V","Pati","KSKC","Kapos","KSKC fungsi Kapos","xxxxxxx","Jateng"
