"ID","Branch","Jenis Dokumen","Nomor","Masa Berlaku","Keterangan","Status","Alamat"
"situ1","Ciputat","SITU",,,,"EXPIRED","xxxx"
"situ2","Daanmogot","SITU",,,,"EXPIRED","xxxx"
"situ3","Head Office","SITU",,,,,"xxxx"
"situ4","Kemayoran","SITU",,,,"EXPIRED","xxxx"
"situ5","Rawamangun","SITU",,,,"EXPIRED","xxxx"
"situ6","Cikupa","SITU",,,,"EXPIRED","xxxx"
"situ7","Ciledug","SITU",,,,"EXPIRED","xxxx"
"situ8","Mauk","SITU",,,,"EXPIRED","xxxx"
"situ9","Serang","SITU",,,,"EXPIRED","xxxx"
"situ10","Tangerang","SITU",,,,"EXPIRED","xxxx"
"situ11","Labuan","SITU",,,,"EXPIRED","xxxx"
"situ12","Rangkasbitung","SITU","503/276-SITU/BPMPPT/2016 tanggal 27-Sep-16","2020-09-27","Ada","VALID","xxxx"
"situ13","Balaraja","SITU","504/01-Kec.Skm/I/2014 tanggal 3-Jan-14","2017-04-03","Ada","EXPIRED","xxxx"
"situ14","Bekasi","SITU",,,,"EXPIRED","xxxx"
"situ15","Cikarang","SITU",,,,"EXPIRED","xxxx"
"situ16","Karawang ","SITU",,,,"EXPIRED","xxxx"
"situ17","Depok","SITU",,,,"EXPIRED","xxxx"
"situ18","Bandung 2","SITU",,,,"EXPIRED","xxxx"
"situ19","Cirebon","SITU",,,,"EXPIRED","xxxx"
"situ20","Jatibarang","SITU",,,,"EXPIRED","xxxx"
"situ21","Sukabumi","SITU",,,,"EXPIRED","xxxx"
"situ22","Subang","SITU",,,,"EXPIRED","xxxx"
"situ23","Sumedang","SITU",,,,"EXPIRED","xxxx"
"situ24","Tasikmalaya","SITU",,,,"EXPIRED","xxxx"
"situ25","Garut","SITU",,,,"EXPIRED","xxxx"
"situ26","Kuningan","SITU",,,,"EXPIRED","xxxx"
"situ27","Cimahi","SITU",,,,"EXPIRED","xxxx"
"situ28","Cianjur","SITU",,,,"EXPIRED","xxxx"
"situ29","Purwakarta","SITU",,,,"EXPIRED","xxxx"
"situ30","Majalengka","SITU",,,,"EXPIRED","xxxx"
"situ31","Pelabuhan Ratu","SITU",,,,"EXPIRED","xxxx"
"situ32","Pamanukan","SITU",,,,"EXPIRED","xxxx"
"situ33","Patrol","SITU",,,,"EXPIRED","xxxx"
"situ34","Soreang","SITU",,,,"EXPIRED","xxxx"
"situ35","Bogor","SITU",,,,"EXPIRED","xxxx"
"situ36","Cileungsi","SITU",,,,"EXPIRED","xxxx"
"situ37","Leuwiliang","SITU",,,,"EXPIRED","xxxx"
"situ38","Jonggol","SITU",,,,"EXPIRED","xxxx"
"situ39","Cibinong","SITU",,,,"EXPIRED","xxxx"
"situ40","Brebes","SITU",,,,"EXPIRED","xxxx"
"situ41","Kudus","SITU",,,,"EXPIRED","xxxx"
"situ42","Pekalongan","SITU",,,,"EXPIRED","xxxx"
"situ43","Semarang","SITU",,,,"EXPIRED","xxxx"
"situ44","Tegal","SITU",,,,"EXPIRED","xxxx"
"situ45","Pemalang","SITU",,,,"EXPIRED","xxxx"
"situ46","Purwodadi","SITU",,,,"EXPIRED","xxxx"
"situ47","Salatiga","SITU",,,,"EXPIRED","xxxx"
