ID,Branch,Jenis Dokumen,Nomor,Masa Berlaku,Keterangan,Status,Alamat
tdp1,Ciputat,TDP,xxxx,2018-08-13,ada,VALID,xxxx
tdp2,Daanmogot,TDP,xxxx,2018-09-16,ada,VALID,xxxx
tdp3,Head Office,TDP,xxxx,2021-07-21,Ada,VALID,xxxx
tdp4,Kemayoran,TDP,xxxx,2020-03-25,Ada,VALID,xxxx
tdp5,Rawamangun,TDP,xxxx,2018-09-15,Ada,VALID,xxxx
tdp6,Cikupa,TDP,xxxx,2018-08-07,Ada,VALID,xxxx
tdp7,Ciledug,TDP,xxxx,2018-09-10,Ada,VALID,xxxx
tdp8,Mauk,TDP,xxxx,2019-09-30,Ada,VALID,xxxx
tdp9,Serang,TDP,xxxx,2020-03-17,Ada,VALID,xxxx
tdp10,Tangerang,TDP,xxxx,2020-04-30,Ada,VALID,xxxx
tdp11,Labuan,TDP,xxxx,2021-06-17,Ada,VALID,xxxx
tdp12,Rangkasbitung,TDP,xxxx,2021-10-04,Ada,VALID,xxxx
tdp13,Balaraja,TDP,xxxx,2021-03-18,Ada,VALID,xxxx
tdp14,Bekasi,TDP,xxxx,2018-07-18,Ada,VALID,xxxx
tdp15,Cikarang,TDP,xxxx,2020-08-02,Ada,VALID,xxxx
tdp16,Karawang ,TDP,xxxx,2017-04-25,Ada,EXPIRED,xxxx
tdp17,Depok,TDP,xxxx,2020-05-07,Ada,VALID,xxxx
tdp18,Bandung 2,TDP,xxxx,2019-01-13,Ada,VALID,xxxx
tdp19,Cirebon,TDP,xxxx,2019-10-01,Ada,VALID,xxxx
tdp20,Jatibarang,TDP,xxxx,2020-08-27,Ada,VALID,xxxx
tdp21,Sukabumi,TDP,xxxx,2020-07-22,Ada,VALID,xxxx
tdp22,Subang,TDP,xxxx,2019-12-02,ada,VALID,xxxx
tdp23,Sumedang,TDP,xxxx,2020-04-23,Ada,VALID,xxxx
tdp24,Tasikmalaya,TDP,xxxx,2019-09-29,Ada,VALID,xxxx
tdp25,Garut,TDP,xxxx,2020-05-11,Ada,VALID,xxxx
tdp26,Kuningan,TDP,xxxx,2019-12-17,Ada,VALID,xxxx
tdp27,Cimahi,TDP,xxxx,2018-02-19,Ada,VALID,xxxx
tdp28,Cianjur,TDP,xxxx,2020-11-30,Ada,VALID,xxxx
tdp29,Purwakarta,TDP,xxxx,2021-02-14,ada,VALID,xxxx
tdp30,Majalengka,TDP,xxxx,2018-08-15,Ada,VALID,xxxx
tdp31,Pelabuhan Ratu,TDP,xxxx,,Tdk ada,EXPIRED,xxxx
tdp32,Pamanukan,TDP,xxxx,,Tdk ada,EXPIRED,xxxx
tdp33,Patrol,TDP,xxxx,2020-08-18,Ada,VALID,xxxx
tdp34,Soreang,TDP,xxxx,,Tdk ada,EXPIRED,xxxx
tdp35,Bogor,TDP,xxxx,2018-07-24,Ada,VALID,xxxx
tdp36,Cileungsi,TDP,xxxx,2019-10-14,ada,VALID,xxxx
tdp37,Leuwiliang,TDP,xxxx,2021-12-28,Ada,VALID,xxxx
tdp38,Jonggol,TDP,xxxx,,Tdk ada,EXPIRED,xxxx
tdp39,Cibinong,TDP,xxxx,,Tdk ada,EXPIRED,xxxx
tdp40,Brebes,TDP,xxxx,2019-08-31,Ada,VALID,xxxx
tdp41,Kudus,TDP,xxxx,2019-09-06,Ada,VALID,xxxx
tdp42,Pekalongan,TDP,xxxx,2020-10-12,Ada,VALID,xxxx
tdp43,Semarang,TDP,xxxx,2018-07-16,Ada,VALID,xxxx
tdp44,Tegal,TDP,xxxx,2021-04-07,Ada,VALID,xxxx
tdp45,Pemalang,TDP,xxxx,2019-09-03,Ada,VALID,xxxx
tdp46,Purwodadi,TDP,xxxx,2019-10-04,Ada,VALID,xxxx
tdp47,Salatiga,TDP,xxxx,2020-02-12,Ada,VALID,xxxx
