"id","name","provinsi_id"
"__export__.hr_recruit_kota_1078","Kabupaten Aceh Barat","Aceh"
"__export__.hr_recruit_kota_1079","Kabupaten Aceh Barat Daya","Aceh"
"__export__.hr_recruit_kota_1080","Kabupaten Aceh Besar","Aceh"
"__export__.hr_recruit_kota_1081","Kabupaten Aceh Jaya","Aceh"
"__export__.hr_recruit_kota_1082","Kabupaten Aceh Selatan","Aceh"
"__export__.hr_recruit_kota_1083","Kabupaten Aceh Singkil","Aceh"
"__export__.hr_recruit_kota_1084","Kabupaten Aceh Tamiang","Aceh"
"__export__.hr_recruit_kota_1085","Kabupaten Aceh Tengah","Aceh"
"__export__.hr_recruit_kota_1086","Kabupaten Aceh Tenggara","Aceh"
"__export__.hr_recruit_kota_1087","Kabupaten Aceh Timur","Aceh"
"__export__.hr_recruit_kota_1088","Kabupaten Aceh Utara","Aceh"
"__export__.hr_recruit_kota_1089","Kabupaten Bener Meriah","Aceh"
"__export__.hr_recruit_kota_1090","Kabupaten Bireuen","Aceh"
"__export__.hr_recruit_kota_1091","Kabupaten Gayo Lues","Aceh"
"__export__.hr_recruit_kota_1092","Kabupaten Nagan Raya","Aceh"
"__export__.hr_recruit_kota_1093","Kabupaten Pidie","Aceh"
"__export__.hr_recruit_kota_1094","Kabupaten Pidie Jaya","Aceh"
"__export__.hr_recruit_kota_1095","Kabupaten Simeulue","Aceh"
"__export__.hr_recruit_kota_1096","Kota Banda Aceh","Aceh"
"__export__.hr_recruit_kota_1097","Kota Langsa","Aceh"
"__export__.hr_recruit_kota_1098","Kota Lhokseumawe","Aceh"
"__export__.hr_recruit_kota_1099","Kota Sabang","Aceh"
"__export__.hr_recruit_kota_1100","Kota Subulussalam","Aceh"
"__export__.hr_recruit_kota_1101","Kabupaten Asahan","Sumatera Utara"
"__export__.hr_recruit_kota_1102","Kabupaten Batu Bara","Sumatera Utara"
"__export__.hr_recruit_kota_1103","Kabupaten Dairi","Sumatera Utara"
"__export__.hr_recruit_kota_1104","Kabupaten Deli Serdang","Sumatera Utara"
"__export__.hr_recruit_kota_1105","Kabupaten Humbang Hasundutan","Sumatera Utara"
"__export__.hr_recruit_kota_1106","Kabupaten Karo","Sumatera Utara"
"__export__.hr_recruit_kota_1107","Kabupaten Labuhanbatu","Sumatera Utara"
"__export__.hr_recruit_kota_1108","Kabupaten Labuhanbatu Selatan","Sumatera Utara"
"__export__.hr_recruit_kota_1109","Kabupaten Labuhanbatu Utara","Sumatera Utara"
"__export__.hr_recruit_kota_1110","Kabupaten Langkat","Sumatera Utara"
"__export__.hr_recruit_kota_1111","Kabupaten Mandailing Natal","Sumatera Utara"
"__export__.hr_recruit_kota_1112","Kabupaten Nias","Sumatera Utara"
"__export__.hr_recruit_kota_1113","Kabupaten Nias Barat","Sumatera Utara"
"__export__.hr_recruit_kota_1114","Kabupaten Nias Selatan","Sumatera Utara"
"__export__.hr_recruit_kota_1115","Kabupaten Nias Utara","Sumatera Utara"
"__export__.hr_recruit_kota_1116","Kabupaten Padang Lawas","Sumatera Utara"
"__export__.hr_recruit_kota_1117","Kabupaten Padang Lawas Utara","Sumatera Utara"
"__export__.hr_recruit_kota_1118","Kabupaten Pakpak Bharat","Sumatera Utara"
"__export__.hr_recruit_kota_1119","Kabupaten Samosir","Sumatera Utara"
"__export__.hr_recruit_kota_1120","Kabupaten Serdang Bedagai","Sumatera Utara"
"__export__.hr_recruit_kota_1121","Kabupaten Simalungun","Sumatera Utara"
"__export__.hr_recruit_kota_1122","Kabupaten Tapanuli Selatan","Sumatera Utara"
"__export__.hr_recruit_kota_1123","Kabupaten Tapanuli Tengah","Sumatera Utara"
"__export__.hr_recruit_kota_1124","Kabupaten Tapanuli Utara","Sumatera Utara"
"__export__.hr_recruit_kota_1125","Kabupaten Toba Samosir","Sumatera Utara"
"__export__.hr_recruit_kota_1126","Kota Binjai","Sumatera Utara"
"__export__.hr_recruit_kota_1127","Kota Gunung Sitoli","Sumatera Utara"
"__export__.hr_recruit_kota_1128","Kota Medan","Sumatera Utara"
"__export__.hr_recruit_kota_1129","Kota Padang Sidempuan","Sumatera Utara"
"__export__.hr_recruit_kota_1130","Kota Pematangsiantar","Sumatera Utara"
"__export__.hr_recruit_kota_1131","Kota Sibolga","Sumatera Utara"
"__export__.hr_recruit_kota_1132","Kota Tanjung Balai","Sumatera Utara"
"__export__.hr_recruit_kota_1133","Kota Tebing Tinggi","Sumatera Utara"
"__export__.hr_recruit_kota_1134","Kabupaten Bengkulu Selatan","Bengkulu"
"__export__.hr_recruit_kota_1135","Kabupaten Bengkulu Tengah","Bengkulu"
"__export__.hr_recruit_kota_1136","Kabupaten Bengkulu Utara","Bengkulu"
"__export__.hr_recruit_kota_1137","Kabupaten Benteng","Bengkulu"
"__export__.hr_recruit_kota_1138","Kabupaten Kaur","Bengkulu"
"__export__.hr_recruit_kota_1139","Kabupaten Kepahiang","Bengkulu"
"__export__.hr_recruit_kota_1140","Kabupaten Lebong","Bengkulu"
"__export__.hr_recruit_kota_1141","Kabupaten Mukomuko","Bengkulu"
"__export__.hr_recruit_kota_1142","Kabupaten Rejang Lebong","Bengkulu"
"__export__.hr_recruit_kota_1143","Kabupaten Seluma","Bengkulu"
"__export__.hr_recruit_kota_1144","Kota Bengkulu","Bengkulu"
"__export__.hr_recruit_kota_1145","Kabupaten Batang Hari","Jambi"
"__export__.hr_recruit_kota_1146","Kabupaten Bungo","Jambi"
"__export__.hr_recruit_kota_1147","Kabupaten Kerinci","Jambi"
"__export__.hr_recruit_kota_1148","Kabupaten Merangin","Jambi"
"__export__.hr_recruit_kota_1149","Kabupaten Muaro Jambi","Jambi"
"__export__.hr_recruit_kota_1150","Kabupaten Sarolangun","Jambi"
"__export__.hr_recruit_kota_1151","Kabupaten Tanjung Jabung Barat","Jambi"
"__export__.hr_recruit_kota_1152","Kabupaten Tanjung Jabung Timur","Jambi"
"__export__.hr_recruit_kota_1153","Kabupaten Tebo","Jambi"
"__export__.hr_recruit_kota_1154","Kota Jambi","Jambi"
"__export__.hr_recruit_kota_1155","Kota Sungai Penuh","Jambi"
"__export__.hr_recruit_kota_1156","Kabupaten Bengkalis","Riau"
"__export__.hr_recruit_kota_1157","Kabupaten Indragiri Hilir","Riau"
"__export__.hr_recruit_kota_1158","Kabupaten Indragiri Hulu","Riau"
"__export__.hr_recruit_kota_1159","Kabupaten Kampar","Riau"
"__export__.hr_recruit_kota_1160","Kabupaten Kuantan Singingi","Riau"
"__export__.hr_recruit_kota_1161","Kabupaten Pelalawan","Riau"
"__export__.hr_recruit_kota_1162","Kabupaten Rokan Hilir","Riau"
"__export__.hr_recruit_kota_1163","Kabupaten Rokan Hulu","Riau"
