"id","name","kota_id"
"kec1101010","TEUPAH SELATAN","KABUPATEN SIMEULUE"
"kec1101020","SIMEULUE TIMUR","KABUPATEN SIMEULUE"
"kec1101021","TEUPAH BARAT","KABUPATEN SIMEULUE"
"kec1101022","TEUPAH TENGAH","KABUPATEN SIMEULUE"
"kec1101030","SIMEULUE TENGAH","KABUPATEN SIMEULUE"
"kec1101031","TELUK DALAM","KABUPATEN SIMEULUE"
"kec1101032","SIMEULUE CUT","KABUPATEN SIMEULUE"
"kec1101040","SALANG","KABUPATEN SIMEULUE"
"kec1101050","SIMEULUE BARAT","KABUPATEN SIMEULUE"
"kec1101051","ALAFAN","KABUPATEN SIMEULUE"
"kec1102010","PULAU BANYAK","KABUPATEN ACEH SINGKIL"
"kec1102011","PULAU BANYAK BARAT","KABUPATEN ACEH SINGKIL"
"kec1102020","SINGKIL","KABUPATEN ACEH SINGKIL"
"kec1102021","SINGKIL UTARA","KABUPATEN ACEH SINGKIL"
"kec1102022","KUALA BARU","KABUPATEN ACEH SINGKIL"
"kec1102030","SIMPANG KANAN","KABUPATEN ACEH SINGKIL"
"kec1102031","GUNUNG MERIAH","KABUPATEN ACEH SINGKIL"
"kec1102032","DANAU PARIS","KABUPATEN ACEH SINGKIL"
"kec1102033","SURO","KABUPATEN ACEH SINGKIL"
"kec1102042","SINGKOHOR","KABUPATEN ACEH SINGKIL"
"kec1102043","KOTA BAHARU","KABUPATEN ACEH SINGKIL"
"kec1103010","TRUMON","KABUPATEN ACEH SELATAN"
"kec1103011","TRUMON TIMUR","KABUPATEN ACEH SELATAN"
"kec1103012","TRUMON TENGAH","KABUPATEN ACEH SELATAN"
"kec1103020","BAKONGAN","KABUPATEN ACEH SELATAN"
"kec1103021","BAKONGAN TIMUR","KABUPATEN ACEH SELATAN"
"kec1103022","KOTA BAHAGIA","KABUPATEN ACEH SELATAN"
"kec1103030","KLUET SELATAN","KABUPATEN ACEH SELATAN"
"kec1103031","KLUET TIMUR","KABUPATEN ACEH SELATAN"
