"id","name","kecamatan_id"
"kel1101010001","LATIUNG","TEUPAH SELATAN"
"kel1101010002","LABUHAN BAJAU","TEUPAH SELATAN"
"kel1101010003","SUAK LAMATAN","TEUPAH SELATAN"
"kel1101010004","ANA AO","TEUPAH SELATAN"
"kel1101010005","LATALING","TEUPAH SELATAN"
"kel1101010006","PULAU BENGKALAK","TEUPAH SELATAN"
"kel1101010007","BADEGONG","TEUPAH SELATAN"
"kel1101010008","KEBUN BARU","TEUPAH SELATAN"
"kel1101010009","ULUL MAYANG","TEUPAH SELATAN"
"kel1101010010","PASIR TINGGI","TEUPAH SELATAN"
"kel1101010011","LABUHAN JAYA","TEUPAH SELATAN"
"kel1101010012","LABUHAN BAKTI","TEUPAH SELATAN"
"kel1101010013","BATU RALANG","TEUPAH SELATAN"
"kel1101010014","ALUS ALUS","TEUPAH SELATAN"
"kel1101010015","SEUNEUBOK","TEUPAH SELATAN"
"kel1101010016","BLANG SEBEL","TEUPAH SELATAN"
"kel1101010017","TRANS BARU","TEUPAH SELATAN"
"kel1101010018","TRANS MERANTI","TEUPAH SELATAN"
"kel1101010019","TRANS JERNGE","TEUPAH SELATAN"
"kel1101020022","AIR PINANG","SIMEULUE TIMUR"
"kel1101020023","KUALA MAKMUR","SIMEULUE TIMUR"
"kel1101020024","GANTING","SIMEULUE TIMUR"
"kel1101020025","LINGGI","SIMEULUE TIMUR"
"kel1101020026","LUGU","SIMEULUE TIMUR"
"kel1101020027","SINABANG","SIMEULUE TIMUR"
"kel1101020028","SUKA MAJU","SIMEULUE TIMUR"
"kel1101020029","SUKA KARYA","SIMEULUE TIMUR"
"kel1101020030","SUKA JAYA","SIMEULUE TIMUR"
"kel1101020031","AIR DINGIN","SIMEULUE TIMUR"
"kel1101020032","KOTA BATU","SIMEULUE TIMUR"
"kel1101020035","SUAK BULUH","SIMEULUE TIMUR"
"kel1101020036","UJUNG TINGGI","SIMEULUE TIMUR"
"kel1101020037","PULAU SIUMAT","SIMEULUE TIMUR"
"kel1101020038","SEFOYAN","SIMEULUE TIMUR"
"kel1101020039","AMAITENG MULIA","SIMEULUE TIMUR"
"kel1101020040","AMERIA BAHAGIA","SIMEULUE TIMUR"
"kel1101021001","SITAL","TEUPAH BARAT"
"kel1101021002","LEUBANG","TEUPAH BARAT"
"kel1101021003","LEUBANG HULU","TEUPAH BARAT"
"kel1101021004","AWE SEUBAL","TEUPAH BARAT"
"kel1101021005","LANTIK","TEUPAH BARAT"
"kel1101021006","AWE KECIL","TEUPAH BARAT"
"kel1101021007","SALUR","TEUPAH BARAT"
"kel1101021008","SALUR LATUN","TEUPAH BARAT"
"kel1101021009","SALUR LASENGALU","TEUPAH BARAT"
"kel1101021010","NANCALA","TEUPAH BARAT"
"kel1101021011","MAUDIL","TEUPAH BARAT"
"kel1101021012","INOR","TEUPAH BARAT"
"kel1101021013","NAIBOS","TEUPAH BARAT"
"kel1101021014","LAAYON","TEUPAH BARAT"
"kel1101021015","ANGKEO","TEUPAH BARAT"
"kel1101021016","BUNON","TEUPAH BARAT"
"kel1101021017","SILENGAS","TEUPAH BARAT"
"kel1101021018","PULAU TEUPAH","TEUPAH BARAT"
"kel1101022001","KAHAT","TEUPAH TENGAH"
"kel1101022002","BUSUNG INDAH","TEUPAH TENGAH"
"kel1101022003","NANCAWA","TEUPAH TENGAH"
"kel1101022004","LABUAH","TEUPAH TENGAH"
"kel1101022005","ABAIL","TEUPAH TENGAH"
"kel1101022006","SIMPANG ABAIL","TEUPAH TENGAH"
"kel1101022007","LANTING","TEUPAH TENGAH"
"kel1101022008","LASIKIN","TEUPAH TENGAH"
"kel1101022009","MATANURUNG","TEUPAH TENGAH"
"kel1101022010","SUA SUA","TEUPAH TENGAH"
"kel1101022011","BATU BATU","TEUPAH TENGAH"
"kel1101022012","SITUBUK","TEUPAH TENGAH"
"kel1101030001","DIHIT","SIMEULUE TENGAH"
"kel1101030002","LAUKE","SIMEULUE TENGAH"
"kel1101030003","LAMBAYA","SIMEULUE TENGAH"
"kel1101030004","LAKUBANG","SIMEULUE TENGAH"
"kel1101030005","KAMPUNG AIE","SIMEULUE TENGAH"
"kel1101030006","LAUREE","SIMEULUE TENGAH"
"kel1101030007","LATITIK","SIMEULUE TENGAH"
"kel1101030008","LAMAYANG","SIMEULUE TENGAH"
"kel1101030009","WEL WEL","SIMEULUE TENGAH"
"kel1101030020","SITUFA JAYA","SIMEULUE TENGAH"
"kel1101030021","PUTRA JAYA","SIMEULUE TENGAH"
"kel1101030022","LUAN SORIP","SIMEULUE TENGAH"
"kel1101030023","SUAK BARU","SIMEULUE TENGAH"
"kel1101030024","SEBBE","SIMEULUE TENGAH"
"kel1101030025","KUTA BARU","SIMEULUE TENGAH"
"kel1101030026","WEL LANGKOM","SIMEULUE TENGAH"
"kel1101031001","KUALA BAKTI","TELUK DALAM"
"kel1101031002","LUGU SEBAHAK","TELUK DALAM"
"kel1101031003","GUNUNG PUTIH","TELUK DALAM"
"kel1101031004","BABUSSALAM","TELUK DALAM"
"kel1101031005","MUARA AMAN","TELUK DALAM"
"kel1101031006","LUAN BALU","TELUK DALAM"
"kel1101031007","SAMBAI","TELUK DALAM"
"kel1101031008","KUALA BARU","TELUK DALAM"
"kel1101031009","TANJUNG RAYA","TELUK DALAM"
"kel1101031010","BULU HADIK","TELUK DALAM"
"kel1101032001","BUBUHAN","SIMEULUE CUT"
"kel1101032002","AMARABU","SIMEULUE CUT"
"kel1101032003","KUTA INANG","SIMEULUE CUT"
"kel1101032004","KUTA PADANG","SIMEULUE CUT"
"kel1101032005","LATAK AYAH","SIMEULUE CUT"
"kel1101032006","SIBULUH","SIMEULUE CUT"
"kel1101032007","BORENGAN","SIMEULUE CUT"
"kel1101032008","UJUNG PADANG","SIMEULUE CUT"
"kel1101040001","UJUNG SALANG","SALANG"
"kel1101040002","PADANG UNOI","SALANG"
"kel1101040003","MEUNAFA","SALANG"
"kel1101040004","NASREUHE","SALANG"
"kel1101040005","ALONG","SALANG"
"kel1101040006","PANTON LAWE","SALANG"
"kel1101040007","MUTIARA","SALANG"
"kel1101040008","KARYA BAKTI","SALANG"
"kel1101040009","TAMON JAYA","SALANG"
"kel1101040010","JAYA BARU","SALANG"
"kel1101040011","TAMENG","SALANG"
"kel1101040012","LALLA BAHAGIA","SALANG"
"kel1101040013","SUAK MANANG","SALANG"
"kel1101040014","BUNGA","SALANG"
"kel1101040015","GANANG PUSAKO","SALANG"
"kel1101040016","KENANGAN JAYA","SALANG"
"kel1101050007","SANGGIRAN","SIMEULUE BARAT"
"kel1101050008","AMABAAN","SIMEULUE BARAT"
"kel1101050009","MITEUM","SIMEULUE BARAT"
"kel1101050010","MALASIN","SIMEULUE BARAT"
"kel1101050011","LAMAMEK","SIMEULUE BARAT"
"kel1101050012","SIGULAI","SIMEULUE BARAT"
"kel1101050013","SEMBILAN","SIMEULUE BARAT"
"kel1101050014","LAYABAUNG","SIMEULUE BARAT"
"kel1101050015","LHOK MAKMUR","SIMEULUE BARAT"
"kel1101050016","UJUNG HARAPAN","SIMEULUE BARAT"
"kel1101050017","LHOK BIKHAO","SIMEULUE BARAT"
"kel1101050018","BABUL MAKMUR","SIMEULUE BARAT"
"kel1101050019","BATU RAGI","SIMEULUE BARAT"
"kel1101050020","SINAR BAHAGIA","SIMEULUE BARAT"
"kel1101051001","LAFAKHA","ALAFAN"
"kel1101051002","LHOK DALAM","ALAFAN"
"kel1101051003","LUBUK BAIK","ALAFAN"
"kel1101051004","LANGI","ALAFAN"
"kel1101051005","SERAFON","ALAFAN"
"kel1101051006","LHOK PAUH","ALAFAN"
"kel1101051007","LAMEREM","ALAFAN"
"kel1101051008","LEWAK","ALAFAN"
"kel1102010003","PULAU BAGUK","PULAU BANYAK"
"kel1102010004","PULAU BALAI","PULAU BANYAK"
"kel1102010005","TELUK NIBUNG","PULAU BANYAK"
"kel1102011001","ASANTOLA","PULAU BANYAK BARAT"
"kel1102011002","UJUNG SIALIT","PULAU BANYAK BARAT"
"kel1102011003","HALOBAN","PULAU BANYAK BARAT"
"kel1102011004","SUKA MAKMUR","PULAU BANYAK BARAT"
"kel1102020003","PULO SAROK","SINGKIL"
"kel1102020004","PASAR SINGKIL","SINGKIL"
"kel1102020005","UJUNG","SINGKIL"
"kel1102020006","KOTA SIMBOLING","SINGKIL"
"kel1102020007","KILANGAN","SINGKIL"
"kel1102020009","TELUK AMBUN","SINGKIL"
"kel1102020010","RANTAU GEDANG","SINGKIL"
"kel1102020011","TELUK RUMBIA","SINGKIL"
"kel1102020012","TAKAL PASIR","SINGKIL"
"kel1102020013","SELOK ACEH","SINGKIL"
"kel1102020014","PEA BUMBUNG","SINGKIL"
"kel1102020015","PEMUKA","SINGKIL"
"kel1102020019","SUKA DAMAI","SINGKIL"
"kel1102020020","UJUNG BAWANG","SINGKIL"
"kel1102020021","SITI AMBIA","SINGKIL"
"kel1102020022","SUKA MAKMUR","SINGKIL"
"kel1102021001","GOSONG TELAGA UTARA","SINGKIL UTARA"
"kel1102021002","GOSONG TELAGA SELATAN","SINGKIL UTARA"
"kel1102021003","GOSONG TELAGA TIMUR","SINGKIL UTARA"
"kel1102021004","TELAGA BAKTI","SINGKIL UTARA"
"kel1102021005","KAMPUNG BARU","SINGKIL UTARA"
"kel1102021006","KETAPANG INDAH","SINGKIL UTARA"
"kel1102021007","GOSONG TELAGA BARAT","SINGKIL UTARA"
"kel1102022001","KAYU MENANG","KUALA BARU"
"kel1102022002","KUALA BARU SUNGAI","KUALA BARU"
"kel1102022003","KUALA BARU LAUT","KUALA BARU"
"kel1102022004","SUKA JAYA","KUALA BARU"
"kel1102030017","PANGI","SIMPANG KANAN"
"kel1102030026","TUGAN","SIMPANG KANAN"
"kel1102030027","CIBUBUKAN","SIMPANG KANAN"
"kel1102030028","KAIN GOLONG","SIMPANG KANAN"
"kel1102030029","SUKAREJO","SIMPANG KANAN"
"kel1102030030","TUH TUHAN","SIMPANG KANAN"
"kel1102030031","LAE GECIH","SIMPANG KANAN"
"kel1102030032","SIATAS","SIMPANG KANAN"
"kel1102030033","KUTA KERANGAN","SIMPANG KANAN"
"kel1102030034","LIPAT KAJANG","SIMPANG KANAN"
"kel1102030035","TANJUNG MAS","SIMPANG KANAN"
"kel1102030036","SERASAH","SIMPANG KANAN"
"kel1102030038","UJUNG LIMUS","SIMPANG KANAN"
"kel1102030039","SILATONG","SIMPANG KANAN"
"kel1102030040","LAE RIMAN","SIMPANG KANAN"
"kel1102030041","PERTABAS","SIMPANG KANAN"
"kel1102030042","KUTA TINGGI","SIMPANG KANAN"
"kel1102030043","LAE NIPE","SIMPANG KANAN"
"kel1102030044","PAKIRAMAN","SIMPANG KANAN"
"kel1102030048","LAE GAMBIR","SIMPANG KANAN"
"kel1102030049","KUTA BATU","SIMPANG KANAN"
"kel1102030050","GUHA","SIMPANG KANAN"
"kel1102030051","LIPAT KAJANG ATAS","SIMPANG KANAN"
"kel1102030052","SIDODADI","SIMPANG KANAN"
"kel1102030053","PANDAN SARI","SIMPANG KANAN"
"kel1102031001","PERTAMPAKAN","GUNUNG MERIAH"
"kel1102031002","TANAH MERAH","GUNUNG MERIAH"
"kel1102031003","SEBATANG","GUNUNG MERIAH"
"kel1102031004","SEPING BARU","GUNUNG MERIAH"
"kel1102031005","PERANGUSAN","GUNUNG MERIAH"
"kel1102031006","GUNUNG LAGAN","GUNUNG MERIAH"
"kel1102031007","TANAH BARA","GUNUNG MERIAH"
"kel1102031008","SUKA MAKMUR","GUNUNG MERIAH"
"kel1102031009","SIDOREJO","GUNUNG MERIAH"
"kel1102031010","PANDAN SARI","GUNUNG MERIAH"
"kel1102031011","BLOK 31","GUNUNG MERIAH"
"kel1102031012","BLOK 18","GUNUNG MERIAH"
"kel1102031013","SANGGABERU SILULUSAN","GUNUNG MERIAH"
"kel1102031014","BLOK 15","GUNUNG MERIAH"
"kel1102031015","TULAAN","GUNUNG MERIAH"
"kel1102031016","BLOK VI BARU","GUNUNG MERIAH"
"kel1102031017","TUNAS HARAPAN","GUNUNG MERIAH"
"kel1102031018","LAE BUTAR","GUNUNG MERIAH"
"kel1102031019","RIMO","GUNUNG MERIAH"
"kel1102031020","SIANJO ANJO MERIAH","GUNUNG MERIAH"
"kel1102031021","CINGKAM","GUNUNG MERIAH"
"kel1102031022","BUKIT HARAPAN","GUNUNG MERIAH"
"kel1102031023","PENJAHITAN","GUNUNG MERIAH"
"kel1102031024","TANJUNG BETIK","GUNUNG MERIAH"
"kel1102031025","LABUHAN KERA","GUNUNG MERIAH"
"kel1102032001","SITUBAN MAKMUR","DANAU PARIS"
"kel1102032002","LAE BALNO","DANAU PARIS"
"kel1102032003","SIKORAN","DANAU PARIS"
"kel1102032004","NAPA GALUH","DANAU PARIS"
"kel1102032005","BISKANG","DANAU PARIS"
"kel1102032006","SITUBUH-TUBUH","DANAU PARIS"
"kel1102032007","DANAU PINANG","DANAU PARIS"
"kel1102033001","MANDUMPANG","SURO"
"kel1102033002","ALUR LINCI","SURO"
"kel1102033003","SIRIMO MUNGKUR","SURO"
"kel1102033004","KERAS","SURO"
"kel1102033005","KETANGKUHAN","SURO"
"kel1102033006","SIOMPIN","SURO"
"kel1102033007","BULU ARA","SURO"
"kel1102033008","LAE BANGUN","SURO"
"kel1102033009","BULU SEMA","SURO"
"kel1102033010","PANGKALAN SULAMPI","SURO"
"kel1102033011","SURO BARU","SURO"
"kel1102033012","LAE CIKALA","SURO"
"kel1102042001","SRI KAYU","SINGKOHOR"
"kel1102042002","PEA JAMBU","SINGKOHOR"
"kel1102042003","LAE PINANG","SINGKOHOR"
"kel1102042004","SINGKOHOR","SINGKOHOR"
"kel1102042005","MUKTI HARAPAN","SINGKOHOR"
"kel1102042006","MUKTI JAYA","SINGKOHOR"
"kel1102042007","LAE SIPOLA","SINGKOHOR"
"kel1102043001","MUARA PEA","KOTA BAHARU"
"kel1102043002","SUMBER MUKTI","KOTA BAHARU"
"kel1102043003","LADANG BISIK","KOTA BAHARU"
"kel1102043004","SAMAR DUA","KOTA BAHARU"
"kel1102043005","BUTAR","KOTA BAHARU"
"kel1102043006","MUKTI LINCIR","KOTA BAHARU"
"kel1102043007","LAPAHAN BUAYA","KOTA BAHARU"
"kel1102043008","LENTONG","KOTA BAHARU"
