"id","name","state_id"
"kotakab1101","KABUPATEN SIMEULUE","Aceh"
"kotakab1102","KABUPATEN ACEH SINGKIL","Aceh"
"kotakab1103","KABUPATEN ACEH SELATAN","Aceh"
"kotakab1104","KABUPATEN ACEH TENGGARA","Aceh"
"kotakab1105","KABUPATEN ACEH TIMUR","Aceh"
"kotakab1106","KABUPATEN ACEH TENGAH","Aceh"
"kotakab1107","KABUPATEN ACEH BARAT","Aceh"
"kotakab1108","KABUPATEN ACEH BESAR","Aceh"
"kotakab1109","KABUPATEN PIDIE","Aceh"
"kotakab1110","KABUPATEN BIREUEN","Aceh"
"kotakab1111","KABUPATEN ACEH UTARA","Aceh"
"kotakab1112","KABUPATEN ACEH BARAT DAYA","Aceh"
"kotakab1113","KABUPATEN GAYO LUES","Aceh"
"kotakab1114","KABUPATEN ACEH TAMIANG","Aceh"
"kotakab1115","KABUPATEN NAGAN RAYA","Aceh"
"kotakab1116","KABUPATEN ACEH JAYA","Aceh"
"kotakab1117","KABUPATEN BENER MERIAH","Aceh"
"kotakab1118","KABUPATEN PIDIE JAYA","Aceh"
"kotakab1171","KOTA BANDA ACEH","Aceh"
"kotakab1172","KOTA SABANG","Aceh"
"kotakab1173","KOTA LANGSA","Aceh"
"kotakab1174","KOTA LHOKSEUMAWE","Aceh"
"kotakab1175","KOTA SUBULUSSALAM","Aceh"
"kotakab1201","KABUPATEN NIAS","Sumatra Utara"
"kotakab1202","KABUPATEN MANDAILING NATAL","Sumatra Utara"
"kotakab1203","KABUPATEN TAPANULI SELATAN","Sumatra Utara"
"kotakab1204","KABUPATEN TAPANULI TENGAH","Sumatra Utara"
"kotakab1205","KABUPATEN TAPANULI UTARA","Sumatra Utara"
"kotakab1206","KABUPATEN TOBA SAMOSIR","Sumatra Utara"
"kotakab1207","KABUPATEN LABUHAN BATU","Sumatra Utara"
"kotakab1208","KABUPATEN ASAHAN","Sumatra Utara"
"kotakab1209","KABUPATEN SIMALUNGUN","Sumatra Utara"
"kotakab1210","KABUPATEN DAIRI","Sumatra Utara"
"kotakab1211","KABUPATEN KARO","Sumatra Utara"
"kotakab1212","KABUPATEN DELI SERDANG","Sumatra Utara"
"kotakab1213","KABUPATEN LANGKAT","Sumatra Utara"
"kotakab1214","KABUPATEN NIAS SELATAN","Sumatra Utara"
"kotakab1215","KABUPATEN HUMBANG HASUNDUTAN","Sumatra Utara"
"kotakab1216","KABUPATEN PAKPAK BHARAT","Sumatra Utara"
"kotakab1217","KABUPATEN SAMOSIR","Sumatra Utara"
"kotakab1218","KABUPATEN SERDANG BEDAGAI","Sumatra Utara"
"kotakab1219","KABUPATEN BATU BARA","Sumatra Utara"
"kotakab1220","KABUPATEN PADANG LAWAS UTARA","Sumatra Utara"
"kotakab1221","KABUPATEN PADANG LAWAS","Sumatra Utara"
"kotakab1222","KABUPATEN LABUHAN BATU SELATAN","Sumatra Utara"
"kotakab1223","KABUPATEN LABUHAN BATU UTARA","Sumatra Utara"
"kotakab1224","KABUPATEN NIAS UTARA","Sumatra Utara"
"kotakab1225","KABUPATEN NIAS BARAT","Sumatra Utara"
